gid,cell type,cell location,x_roation,y_roation,z_roation
0,axoaxoniccell[0],"[[380]
 [460]
 [360]]",0.0,0.0,1.5707963267948966
1,axoaxoniccell[1],"[[340]
 [880]
 [380]]",0.0,0.0,1.5707963267948966
2,olmcell[0],"[[300]
 [400]
 [400]]",0.0,0.0,1.5707963267948966
3,olmcell[1],"[[280]
 [500]
 [400]]",0.0,0.0,1.5707963267948966
4,olmcell[2],"[[180]
 [280]
 [460]]",0.0,0.0,1.5707963267948966
5,olmcell[3],"[[140]
 [620]
 [420]]",0.0,0.0,1.5707963267948966
6,olmcell[4],"[[ 80]
 [220]
 [360]]",0.0,0.0,1.5707963267948966
7,olmcell[5],"[[320]
 [940]
 [420]]",0.0,0.0,1.5707963267948966
8,olmcell[6],"[[340]
 [ 80]
 [460]]",0.0,0.0,1.5707963267948966
9,olmcell[7],"[[ 80]
 [540]
 [400]]",0.0,0.0,1.5707963267948966
10,olmcell[8],"[[180]
 [300]
 [320]]",0.0,0.0,1.5707963267948966
11,olmcell[9],"[[380]
 [780]
 [340]]",0.0,0.0,1.5707963267948966
12,pvbasketcell[0],"[[240]
 [280]
 [380]]",0.0,0.0,1.5707963267948966
13,pvbasketcell[1],"[[300]
 [320]
 [360]]",0.0,0.0,1.5707963267948966
14,pyramidalcell[0],"[[288]
 [192]
 [314]]",0.0,0.0,1.5707963267948966
15,pyramidalcell[1],"[[152]
 [888]
 [298]]",0.0,0.0,1.5707963267948966
16,pyramidalcell[2],"[[272]
 [560]
 [290]]",0.0,0.0,1.5707963267948966
17,pyramidalcell[3],"[[344]
 [176]
 [322]]",0.0,0.0,1.5707963267948966
18,pyramidalcell[4],"[[200]
 [736]
 [322]]",0.0,0.0,1.5707963267948966
19,pyramidalcell[5],"[[256]
 [456]
 [306]]",0.0,0.0,1.5707963267948966
20,pyramidalcell[6],"[[ 48]
 [800]
 [306]]",0.0,0.0,1.5707963267948966
21,pyramidalcell[7],"[[104]
 [768]
 [290]]",0.0,0.0,1.5707963267948966
22,pyramidalcell[8],"[[ 96]
 [960]
 [298]]",0.0,0.0,1.5707963267948966
23,pyramidalcell[9],"[[288]
 [944]
 [290]]",0.0,0.0,1.5707963267948966
24,axoaxoniccell[2],"[[120]
 [112]
 [314]]",0.0,0.0,1.5707963267948966
25,axoaxoniccell[3],"[[360]
 [896]
 [298]]",0.0,0.0,1.5707963267948966
26,axoaxoniccell[4],"[[104]
 [  0]
 [306]]",0.0,0.0,1.5707963267948966
27,axoaxoniccell[5],"[[ 40]
 [848]
 [314]]",0.0,0.0,1.5707963267948966
28,axoaxoniccell[6],"[[216]
 [792]
 [290]]",0.0,0.0,1.5707963267948966
29,axoaxoniccell[7],"[[152]
 [ 88]
 [314]]",0.0,0.0,1.5707963267948966
30,axoaxoniccell[8],"[[208]
 [984]
 [306]]",0.0,0.0,1.5707963267948966
31,pvbasketcell[2],"[[376]
 [912]
 [322]]",0.0,0.0,1.5707963267948966
32,pvbasketcell[3],"[[224]
 [928]
 [314]]",0.0,0.0,1.5707963267948966
33,pvbasketcell[4],"[[160]
 [248]
 [322]]",0.0,0.0,1.5707963267948966
34,pvbasketcell[5],"[[232]
 [888]
 [298]]",0.0,0.0,1.5707963267948966
35,pvbasketcell[6],"[[240]
 [576]
 [298]]",0.0,0.0,1.5707963267948966
36,pvbasketcell[7],"[[  0]
 [ 72]
 [322]]",0.0,0.0,1.5707963267948966
37,pvbasketcell[8],"[[352]
 [152]
 [322]]",0.0,0.0,1.5707963267948966
38,axoaxoniccell[9],"[[ 80]
 [960]
 [180]]",0.0,0.0,1.5707963267948966
39,pvbasketcell[9],"[[ 140]
 [1000]
 [ 140]]",0.0,0.0,1.5707963267948966
