,timestamps,node_ids,population
0,299.0000000001337,24,biophysical
1,362.20000000014807,32,biophysical
2,330.6000000001409,36,biophysical
3,393.80000000015525,52,biophysical
4,330.6000000001409,68,biophysical
5,330.6000000001409,120,biophysical
6,194.50000000011002,124,biophysical
7,330.6000000001409,156,biophysical
8,362.20000000014807,160,biophysical
9,393.80000000015525,188,biophysical
10,393.80000000015525,200,biophysical
11,356.90000000014686,204,biophysical
12,393.80000000015525,212,biophysical
13,432.300000000164,228,biophysical
14,330.6000000001409,252,biophysical
15,365.60000000014884,260,biophysical
16,362.20000000014807,264,biophysical
17,356.90000000014686,292,biophysical
18,330.6000000001409,13,biophysical
19,345.90000000014436,37,biophysical
20,160.00000000010212,41,biophysical
21,353.6000000001461,49,biophysical
22,356.90000000014686,53,biophysical
23,393.80000000015525,57,biophysical
24,393.80000000015525,73,biophysical
25,393.80000000015525,85,biophysical
26,356.90000000014686,101,biophysical
27,393.80000000015525,105,biophysical
28,94.3000000000968,117,biophysical
29,362.20000000014807,121,biophysical
30,330.6000000001409,125,biophysical
31,394.2000000001554,125,biophysical
32,362.20000000014807,133,biophysical
33,226.00000000011715,141,biophysical
34,393.80000000015525,145,biophysical
35,362.20000000014807,197,biophysical
36,393.80000000015525,201,biophysical
37,393.80000000015525,209,biophysical
38,249.90000000012256,229,biophysical
39,171.00000000010462,245,biophysical
40,393.80000000015525,245,biophysical
41,330.6000000001409,249,biophysical
42,394.2000000001554,249,biophysical
43,330.6000000001409,261,biophysical
44,394.2000000001554,261,biophysical
45,393.80000000015525,305,biophysical
46,393.80000000015525,317,biophysical
47,393.80000000015525,34,biophysical
48,292.1000000001321,42,biophysical
49,393.80000000015525,50,biophysical
50,393.80000000015525,62,biophysical
51,362.20000000014807,78,biophysical
52,393.80000000015525,130,biophysical
53,330.6000000001409,142,biophysical
54,43.30000000009968,166,biophysical
55,484.00000000017576,166,biophysical
56,393.80000000015525,194,biophysical
57,470.60000000017266,194,biophysical
58,393.80000000015525,202,biophysical
59,362.20000000014807,222,biophysical
60,393.80000000015525,230,biophysical
61,138.30000000009719,262,biophysical
62,393.80000000015525,270,biophysical
63,393.80000000015525,282,biophysical
64,254.70000000012362,298,biophysical
65,362.20000000014807,15,biophysical
66,362.20000000014807,23,biophysical
67,325.3000000001397,27,biophysical
68,360.6000000001477,55,biophysical
69,362.20000000014807,67,biophysical
70,393.80000000015525,107,biophysical
71,427.0000000001628,123,biophysical
72,393.80000000015525,131,biophysical
73,362.20000000014807,167,biophysical
74,460.6000000001704,179,biophysical
75,393.80000000015525,191,biophysical
76,35.800000000100106,207,biophysical
77,151.70000000010026,207,biophysical
78,393.80000000015525,211,biophysical
79,457.8000000001698,223,biophysical
80,330.6000000001409,243,biophysical
81,393.80000000015525,247,biophysical
82,235.80000000011933,259,biophysical
83,319.10000000013827,263,biophysical
84,105.60000000009614,291,biophysical
85,362.20000000014807,299,biophysical
86,393.80000000015525,303,biophysical
87,362.20000000014807,311,biophysical
